crops,урожай
wives,жены
tale,"рассказ, выдумка"
vase,ваза
prolong,продлить
support,"поддержка, опора; поддерживать"
confirm,"подтверждать, утверждать"
plant,растение
water,поливать
be inclined to,быть расположенным (к чему-л)
,
wilt,"вянуть, поникать"
reduce,"уменьшать, сокращать, заставлять"
rate,темп
leaf,лист
lose,"терять, лишаться"
moisture,"влага, влажность, сырость"
drought,засуха
post-graduate,аспирант
stay,пребывание
examine,исследовать
,
compound,"смесь, соединение"
enable,"давать право, возможность (кому -л. сделать что-л.)"
conserve,сохранять
advantage,"выгода, польза; преймущество"
as far as I know,насколько мне известно
harmful,вредный
spray,брызги
abridge,сокращать
unit,единица
combustion,сгорание
,
vapour,пар
ship,перевозить (груз)
conventional,обычный
scale,масштаб
tremendous,разг. огромный
proposal,предложение
,
plant,"завод, установка"
equally,"ровно, в равной мере"
expedient,"целесообразный; прием, способ"
might,"энергия, сила"
hold back,сдерживаться
in order that,"для того, чтобы"
extensively,широко
expensive,дорогой
exhaust,"истощать, исчерпывать, опустошать"
exceed,"превышать, превосходить"
,
stage,"стадия, этап"
substance,вещество
coke,кокс
harmful,вредный
eject,извергать
eliminate,устранять
sentence,предложение
musician,музыкант
sense,"сознание, чувство"
ancestor,предок
conversion,"превращение, обращение"
,
funk,"страх, паника; трус"
perform,исполнять (музыку)
delightful,восхитительный
gentle,"мягкий, кроткий; знатный, родовитый"
innocent,"невинный, наивный, безвредный; простак"
savage,"дикарь, жестокий человек; дикий"
percussion,ударные инструменты
compose,сочинять (музыку)
sight,"зрение, вид, зрелище, увидеть, заметить"
,
fly,муха
ointmnet,мазь
a fly in the ointment,ложка дёгтя в бочке мёда
speck,"пятнышко, пятнать"
well-being,благополучие
safe,"невредимый, безопасный, надежный; сейф"
,
bet,пари
gospel,евангелие
lilac,"сирень, сиреневый"
attempt,"попытка, покушение; пытаться, пробовать"
aware,"осведомленный, знающий"
imagine,"воображать, представлять себе"
complete,"заканчивать, завершать"
trip,"экскурсия, путешествие, поездка"
screen,экран
arrive,прибывать
,
greet,приветствовать
punch,"комбинировать, штамповать, пробивать (отверстие)"
unlock,отпирать
hostess,хозяйка
pot,"горшок, котелок; марихуана"
gurgle,булькать
hum,"жужжать, мямлить"
away,прочь
sprinkler,опрыскиватель
dampen,"смачивать, увлажнять"
,
admirer,"поклонник, обожатель"
pushbutton,кнопка
convenience,удобства
branch,филиал
comprehensive,"всесторонний, подробный"
console,утешать
merit,"заслуга; достоинство, качество"
appliance,прибор
alarm,тревога
intercom,внутреннее переговорное усторойство
,
for instance,например
curious,"любопытный, чудной"
oven,печь
whether,ли
burglar,ночной вор - взломщик
break in,взломство
,
fundamental,"основы, основные принципы"
definition,определение
communication,связь
abstract,"отделять, извлекать"
collect,концентрировать
perform,"выполнять, совершать"
oscillation,колебание
rough,приблизительный
needless to say,излишне говорить
impress,производить впечатление
,
tie,завязывать
explain,объяснять
propagation,распространение
isle,остров
employ,"использовать, применять"
obtain,"добывать, приобретать, достигать"
overseas,трансконтинентальный
although,"хотя, если бы даже, несмотря на"
cable,"канат, кабель, телеграмма"
to a great extent,в значительной степени
,
satellite,спутниковый ретранслятор
almost,почти
relay,трансляция
unique,"единственный в своём роде, уникальный"
exploit,"разрабатывать, эксплуатировать"
convict,"осужденный, каторжник"
guard,"стража, охрана, гвардия"
descendant,потомок
concrete,бетон
first rate,"первокласный, превосходный"
,
picturesque,"живописный, колоритный"
message,"сообщение, донесение"
needle,стрелка (компаса)
leak,"течь, утечка, просачиваться"
gummy,"клейкий, липкий"
interrupt,"прерывать, прегрождать"
,
bee,пчела
heat up,"подогревать, согревать"
spin,"кружить, вертеть"
sigh,"вздох, вздыхать"
laugh,"смех, смеяться"
glove,перчатка
snap,"щелканье, треск"
twilight,сумерки
buzzer,зуммер
dash,тире
dot,точка
,
mention,упоминать
supplementary,дополнительный
contemporary,"современный, современник"
install,"устраивать, устанавливать"
arc,"дуга, радуга"
incandescent,раскаленный
glow,пылать
arrival,прибытие
legible,"разборчивый, четкий"
,
item,"пункт, параграф"
space,пространство
admission,вход
surname,фамилия
counter,прилавок
purse,кошелек
property,"собственность, имущество"
claim,"требование, требовать"
custom-house,таможня
patronymic,отчество
,
residence,местожительство
citizenship,гражданство
surrender,"сдача, капитуляция, отказываться"
lay-out,"схема, план"
concourse,главный зал вокзала
cure,"лекарство, лечение, лечить"
,
smell,"запах, нюхать"
odour,запах
onion,"лук, луковица"
fry,жарить
fragrance,"запах, аромат"
frame,"каркас, скелет, телосложение"
pipe,"труба, трубка"
ripe,"зрелый, спелый"
goose,"гусь, дурак, простак"
exonerate,оправдывать
,
emergency,"крайность, критическое положение"
divest,"раздевать, разоблачать, лишать"
famine,голод
improvement,"улучшение, усовершенствование"
immediately,"непосредственно, немедленно"
grain,зерно
fastidious,"привередливый, брезгливый"
attraction,"притяжение, привлекательность"
covet,завидовать
what is up?,в чем дело?
,
inseparable,"неразлучный, неотделимый"
intend,намереваться
issue,"выход, издание; выходить, издавать"
indelible,несмываемый
choice,"выбор, альтернатива; отборный"
demented,"сумасшедший, безумный"
demean,унижать
preference,предпочтение
voter,избиратель
drift,сугроб
,
inherit,наследовать
refugee,"беженец, эмигрант"
crash,"грохот, треск"
file,"напильник, шлифовать"
upstart,выскочка
courtesy,"учтивость, вежливость"
,
relax,"отдыхать, ослаблять"
rejoin,"возражать, присоединяться"
release,"освобождение, освобождать"
